query_id,topic,difficulty,topic_slot,query_text,reference_answer,review_status,draft_source,notes
Q001,authentication_and_identity,basic,authentication_and_identity__01,,,draft,llm_draft_then_manual_review,
Q002,authentication_and_identity,basic,authentication_and_identity__02,,,draft,llm_draft_then_manual_review,
Q003,authentication_and_identity,basic,authentication_and_identity__03,,,draft,llm_draft_then_manual_review,
Q004,authentication_and_identity,intermediate,authentication_and_identity__04,,,draft,llm_draft_then_manual_review,
Q005,authentication_and_identity,intermediate,authentication_and_identity__05,,,draft,llm_draft_then_manual_review,
Q006,authentication_and_identity,intermediate,authentication_and_identity__06,,,draft,llm_draft_then_manual_review,
Q007,authentication_and_identity,intermediate,authentication_and_identity__07,,,draft,llm_draft_then_manual_review,
Q008,authentication_and_identity,intermediate,authentication_and_identity__08,,,draft,llm_draft_then_manual_review,
Q009,authentication_and_identity,advanced,authentication_and_identity__09,,,draft,llm_draft_then_manual_review,
Q010,authentication_and_identity,advanced,authentication_and_identity__10,,,draft,llm_draft_then_manual_review,
Q011,rbac_and_service_accounts,basic,rbac_and_service_accounts__01,,,draft,llm_draft_then_manual_review,
Q012,rbac_and_service_accounts,basic,rbac_and_service_accounts__02,,,draft,llm_draft_then_manual_review,
Q013,rbac_and_service_accounts,basic,rbac_and_service_accounts__03,,,draft,llm_draft_then_manual_review,
Q014,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__04,,,draft,llm_draft_then_manual_review,
Q015,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__05,,,draft,llm_draft_then_manual_review,
Q016,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__06,,,draft,llm_draft_then_manual_review,
Q017,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__07,,,draft,llm_draft_then_manual_review,
Q018,rbac_and_service_accounts,intermediate,rbac_and_service_accounts__08,,,draft,llm_draft_then_manual_review,
Q019,rbac_and_service_accounts,advanced,rbac_and_service_accounts__09,,,draft,llm_draft_then_manual_review,
Q020,rbac_and_service_accounts,advanced,rbac_and_service_accounts__10,,,draft,llm_draft_then_manual_review,
Q021,pod_security_and_admission_control,basic,pod_security_and_admission_control__01,,,draft,llm_draft_then_manual_review,
Q022,pod_security_and_admission_control,basic,pod_security_and_admission_control__02,,,draft,llm_draft_then_manual_review,
Q023,pod_security_and_admission_control,basic,pod_security_and_admission_control__03,,,draft,llm_draft_then_manual_review,
Q024,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__04,,,draft,llm_draft_then_manual_review,
Q025,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__05,,,draft,llm_draft_then_manual_review,
Q026,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__06,,,draft,llm_draft_then_manual_review,
Q027,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__07,,,draft,llm_draft_then_manual_review,
Q028,pod_security_and_admission_control,intermediate,pod_security_and_admission_control__08,,,draft,llm_draft_then_manual_review,
Q029,pod_security_and_admission_control,advanced,pod_security_and_admission_control__09,,,draft,llm_draft_then_manual_review,
Q030,pod_security_and_admission_control,advanced,pod_security_and_admission_control__10,,,draft,llm_draft_then_manual_review,
Q031,secrets_handling,basic,secrets_handling__01,,,draft,llm_draft_then_manual_review,
Q032,secrets_handling,basic,secrets_handling__02,,,draft,llm_draft_then_manual_review,
Q033,secrets_handling,basic,secrets_handling__03,,,draft,llm_draft_then_manual_review,
Q034,secrets_handling,intermediate,secrets_handling__04,,,draft,llm_draft_then_manual_review,
Q035,secrets_handling,intermediate,secrets_handling__05,,,draft,llm_draft_then_manual_review,
Q036,secrets_handling,intermediate,secrets_handling__06,,,draft,llm_draft_then_manual_review,
Q037,secrets_handling,intermediate,secrets_handling__07,,,draft,llm_draft_then_manual_review,
Q038,secrets_handling,intermediate,secrets_handling__08,,,draft,llm_draft_then_manual_review,
Q039,secrets_handling,advanced,secrets_handling__09,,,draft,llm_draft_then_manual_review,
Q040,secrets_handling,advanced,secrets_handling__10,,,draft,llm_draft_then_manual_review,
Q041,network_policy_and_traffic_isolation,basic,network_policy_and_traffic_isolation__01,,,draft,llm_draft_then_manual_review,
Q042,network_policy_and_traffic_isolation,basic,network_policy_and_traffic_isolation__02,,,draft,llm_draft_then_manual_review,
Q043,network_policy_and_traffic_isolation,basic,network_policy_and_traffic_isolation__03,,,draft,llm_draft_then_manual_review,
Q044,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__04,,,draft,llm_draft_then_manual_review,
Q045,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__05,,,draft,llm_draft_then_manual_review,
Q046,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__06,,,draft,llm_draft_then_manual_review,
Q047,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__07,,,draft,llm_draft_then_manual_review,
Q048,network_policy_and_traffic_isolation,intermediate,network_policy_and_traffic_isolation__08,,,draft,llm_draft_then_manual_review,
Q049,network_policy_and_traffic_isolation,advanced,network_policy_and_traffic_isolation__09,,,draft,llm_draft_then_manual_review,
Q050,network_policy_and_traffic_isolation,advanced,network_policy_and_traffic_isolation__10,,,draft,llm_draft_then_manual_review,
Q051,etcd_and_data_protection,basic,etcd_and_data_protection__01,,,draft,llm_draft_then_manual_review,
Q052,etcd_and_data_protection,basic,etcd_and_data_protection__02,,,draft,llm_draft_then_manual_review,
Q053,etcd_and_data_protection,basic,etcd_and_data_protection__03,,,draft,llm_draft_then_manual_review,
Q054,etcd_and_data_protection,intermediate,etcd_and_data_protection__04,,,draft,llm_draft_then_manual_review,
Q055,etcd_and_data_protection,intermediate,etcd_and_data_protection__05,,,draft,llm_draft_then_manual_review,
Q056,etcd_and_data_protection,intermediate,etcd_and_data_protection__06,,,draft,llm_draft_then_manual_review,
Q057,etcd_and_data_protection,intermediate,etcd_and_data_protection__07,,,draft,llm_draft_then_manual_review,
Q058,etcd_and_data_protection,intermediate,etcd_and_data_protection__08,,,draft,llm_draft_then_manual_review,
Q059,etcd_and_data_protection,advanced,etcd_and_data_protection__09,,,draft,llm_draft_then_manual_review,
Q060,etcd_and_data_protection,advanced,etcd_and_data_protection__10,,,draft,llm_draft_then_manual_review,
Q061,image_and_supply_chain_security,basic,image_and_supply_chain_security__01,,,draft,llm_draft_then_manual_review,
Q062,image_and_supply_chain_security,basic,image_and_supply_chain_security__02,,,draft,llm_draft_then_manual_review,
Q063,image_and_supply_chain_security,basic,image_and_supply_chain_security__03,,,draft,llm_draft_then_manual_review,
Q064,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__04,,,draft,llm_draft_then_manual_review,
Q065,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__05,,,draft,llm_draft_then_manual_review,
Q066,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__06,,,draft,llm_draft_then_manual_review,
Q067,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__07,,,draft,llm_draft_then_manual_review,
Q068,image_and_supply_chain_security,intermediate,image_and_supply_chain_security__08,,,draft,llm_draft_then_manual_review,
Q069,image_and_supply_chain_security,advanced,image_and_supply_chain_security__09,,,draft,llm_draft_then_manual_review,
Q070,image_and_supply_chain_security,advanced,image_and_supply_chain_security__10,,,draft,llm_draft_then_manual_review,
Q071,logging_auditing_and_detection,basic,logging_auditing_and_detection__01,,,draft,llm_draft_then_manual_review,
Q072,logging_auditing_and_detection,basic,logging_auditing_and_detection__02,,,draft,llm_draft_then_manual_review,
Q073,logging_auditing_and_detection,basic,logging_auditing_and_detection__03,,,draft,llm_draft_then_manual_review,
Q074,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__04,,,draft,llm_draft_then_manual_review,
Q075,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__05,,,draft,llm_draft_then_manual_review,
Q076,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__06,,,draft,llm_draft_then_manual_review,
Q077,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__07,,,draft,llm_draft_then_manual_review,
Q078,logging_auditing_and_detection,intermediate,logging_auditing_and_detection__08,,,draft,llm_draft_then_manual_review,
Q079,logging_auditing_and_detection,advanced,logging_auditing_and_detection__09,,,draft,llm_draft_then_manual_review,
Q080,logging_auditing_and_detection,advanced,logging_auditing_and_detection__10,,,draft,llm_draft_then_manual_review,
Q081,multi_tenancy_and_isolation,basic,multi_tenancy_and_isolation__01,,,draft,llm_draft_then_manual_review,
Q082,multi_tenancy_and_isolation,basic,multi_tenancy_and_isolation__02,,,draft,llm_draft_then_manual_review,
Q083,multi_tenancy_and_isolation,basic,multi_tenancy_and_isolation__03,,,draft,llm_draft_then_manual_review,
Q084,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__04,,,draft,llm_draft_then_manual_review,
Q085,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__05,,,draft,llm_draft_then_manual_review,
Q086,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__06,,,draft,llm_draft_then_manual_review,
Q087,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__07,,,draft,llm_draft_then_manual_review,
Q088,multi_tenancy_and_isolation,intermediate,multi_tenancy_and_isolation__08,,,draft,llm_draft_then_manual_review,
Q089,multi_tenancy_and_isolation,advanced,multi_tenancy_and_isolation__09,,,draft,llm_draft_then_manual_review,
Q090,multi_tenancy_and_isolation,advanced,multi_tenancy_and_isolation__10,,,draft,llm_draft_then_manual_review,
Q091,vulnerability_management_and_incident_response,basic,vulnerability_management_and_incident_response__01,,,draft,llm_draft_then_manual_review,
Q092,vulnerability_management_and_incident_response,basic,vulnerability_management_and_incident_response__02,,,draft,llm_draft_then_manual_review,
Q093,vulnerability_management_and_incident_response,basic,vulnerability_management_and_incident_response__03,,,draft,llm_draft_then_manual_review,
Q094,vulnerability_management_and_incident_response,intermediate,vulnerability_management_and_incident_response__04,,,draft,llm_draft_then_manual_review,
Q095,vulnerability_management_and_incident_response,intermediate,vulnerability_management_and_incident_response__05,,,draft,llm_draft_then_manual_review,
Q096,vulnerability_management_and_incident_response,intermediate,vulnerability_management_and_incident_response__06,,,draft,llm_draft_then_manual_review,
Q097,vulnerability_management_and_incident_response,intermediate,vulnerability_management_and_incident_response__07,,,draft,llm_draft_then_manual_review,
Q098,vulnerability_management_and_incident_response,intermediate,vulnerability_management_and_incident_response__08,,,draft,llm_draft_then_manual_review,
Q099,vulnerability_management_and_incident_response,advanced,vulnerability_management_and_incident_response__09,,,draft,llm_draft_then_manual_review,
Q100,vulnerability_management_and_incident_response,advanced,vulnerability_management_and_incident_response__10,,,draft,llm_draft_then_manual_review,
