topic,num_cases,context_relevance,answer_relevance,faithfulness,context_precision,context_recall,bertscore_p,bertscore_r,bertscore_f1
authentication_and_identity,30,,,,,,0.6137384454409281,0.6151530126730601,0.613782940308253
etcd_and_data_protection,30,,,,,,0.5767348925272624,0.6134656429290771,0.5939278344313303
image_and_supply_chain_security,30,,,,,,0.6094308098157247,0.6275380273660024,0.6174854139486948
logging_auditing_and_detection,30,,,,,,0.6115423580010731,0.6343828618526459,0.6222248911857605
multi_tenancy_and_isolation,30,,,,,,0.6059881945451101,0.6260105947653453,0.6155281682809194
network_policy_and_traffic_isolation,30,,,,,,0.5998515665531159,0.6254110753536224,0.61182146469752
pod_security_and_admission_control,30,,,,,,0.5949993501106898,0.6074395616849263,0.6004840493202209
rbac_and_service_accounts,30,,,,,,0.6190265317757925,0.6268038829167684,0.621905122200648
secrets_handling,30,,,,,,0.6048987865447998,0.6105848610401153,0.6073097308476766
vulnerability_management_and_incident_response,30,,,,,,0.6056323925654093,0.6103361586729685,0.6074966470400492
