source_id,trust_level,num_chunks,median_words
k8s_security_observability_book,trusted,417,141.0
k8s_access_control_docs,official,250,101.0
k8s_security_docs,official,228,91.0
nist_sp_800_190,official,146,143.0
k8s_operational_security_docs,official,133,94.0
aws_eks_security_docs,official,129,107.0
cncf_cloud_native_security_whitepaper,trusted,129,143.0
k8s_cve_feed,official,107,141.0
aalto_k8s_security_thesis,trusted,103,141.0
gke_security_docs,official,96,79.5
owasp_k8s_cheatsheet,trusted,82,103.0
aks_security_docs,official,81,94.0
wallarm_kubernetes_security_whitepaper,trusted,64,141.5
kubescape_security_docs,trusted,53,112.0
redhat_kubernetes_security_pdf,trusted,44,143.5
practical_devsecops_kubernetes_security_101,trusted,21,102.0
gatekeeper_policy_docs,trusted,10,44.5
