source_id,source_type,trust_level,num_items,total_bytes
aalto_k8s_security_thesis,pdf,trusted,1,1037935
aks_security_docs,html,official,4,259574
aws_eks_security_docs,html,official,5,229151
cncf_cloud_native_security_whitepaper,pdf,trusted,1,1545334
gatekeeper_policy_docs,html,trusted,3,100997
gke_security_docs,html,official,3,489527
k8s_access_control_docs,html,official,8,4427888
k8s_cve_feed,json_feed,official,1,271429
k8s_operational_security_docs,html,official,4,2136209
k8s_security_docs,html,official,15,7453347
k8s_security_observability_book,pdf,trusted,1,5940108
kubescape_security_docs,html,trusted,5,328334
nist_sp_800_190,pdf,official,1,666229
owasp_k8s_cheatsheet,html,trusted,1,205883
practical_devsecops_kubernetes_security_101,pdf,trusted,1,3301159
redhat_kubernetes_security_pdf,pdf,trusted,1,566146
wallarm_kubernetes_security_whitepaper,pdf,trusted,1,1616054
